"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"The Tree Trim Set","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-1200.jpg","The Tree Trim Set — dachshund gift. Three name-drop ornaments, one coat, one box. $18 less than buying them one at a time. Three ornaments is the number that actually gets used. One for your tree, one for the box you hand someone in December, and one that ends up on a wreath or a gift you did not plan on giving. Each is the same metal ornament sold on…","https://badger-and-bone.pages.dev/p/tree-trim-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=tree-trim-set_202609&utm_content=feed","","bundle, gift, christmas, ornament, dachshund, gift-set, best-value, dachshund gift, doxie, wiener dog"
"Red dachshund — The Tree Trim Set","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-red-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-red-1200.jpg","Red dachshund gift — The Tree Trim Set. Three name-drop ornaments, one coat, one box. $18 less than buying them one at a time. Three ornaments is the number that actually gets used. One for your tree, one for the box you hand someone in December, and one that ends up on a wreath or a gift you did not plan on giving. Each is the same metal ornament sold on…","https://badger-and-bone.pages.dev/p/tree-trim-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=tree-trim-set_202609&utm_content=feed&utm_term=red","","bundle, gift, christmas, ornament, dachshund, gift-set, best-value, dachshund gift, doxie, wiener dog, red dachshund"
"Black & Tan dachshund — The Tree Trim Set","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-black-tan-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-black-tan-1200.jpg","Black & Tan dachshund gift — The Tree Trim Set. Three name-drop ornaments, one coat, one box. $18 less than buying them one at a time. Three ornaments is the number that actually gets used. One for your tree, one for the box you hand someone in December, and one that ends up on a wreath or a gift you did not plan on giving. Each is the same metal ornament sold on…","https://badger-and-bone.pages.dev/p/tree-trim-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=tree-trim-set_202609&utm_content=feed&utm_term=black-tan","","bundle, gift, christmas, ornament, dachshund, gift-set, best-value, dachshund gift, doxie, wiener dog, black & tan dachshund"
"Chocolate & Tan dachshund — The Tree Trim Set","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-chocolate-tan-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-chocolate-tan-1200.jpg","Chocolate & Tan dachshund gift — The Tree Trim Set. Three name-drop ornaments, one coat, one box. $18 less than buying them one at a time. Three ornaments is the number that actually gets used. One for your tree, one for the box you hand someone in December, and one that ends up on a wreath or a gift you did not plan on giving. Each is the same metal ornament sold on…","https://badger-and-bone.pages.dev/p/tree-trim-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=tree-trim-set_202609&utm_content=feed&utm_term=chocolate-tan","","bundle, gift, christmas, ornament, dachshund, gift-set, best-value, dachshund gift, doxie, wiener dog, chocolate & tan dachshund"
"Cream dachshund — The Tree Trim Set","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-cream-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-cream-1200.jpg","Cream dachshund gift — The Tree Trim Set. Three name-drop ornaments, one coat, one box. $18 less than buying them one at a time. Three ornaments is the number that actually gets used. One for your tree, one for the box you hand someone in December, and one that ends up on a wreath or a gift you did not plan on giving. Each is the same metal ornament sold on…","https://badger-and-bone.pages.dev/p/tree-trim-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=tree-trim-set_202609&utm_content=feed&utm_term=cream","","bundle, gift, christmas, ornament, dachshund, gift-set, best-value, dachshund gift, doxie, wiener dog, cream dachshund"
"Dapple dachshund — The Tree Trim Set","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-dapple-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-dapple-1200.jpg","Dapple dachshund gift — The Tree Trim Set. Three name-drop ornaments, one coat, one box. $18 less than buying them one at a time. Three ornaments is the number that actually gets used. One for your tree, one for the box you hand someone in December, and one that ends up on a wreath or a gift you did not plan on giving. Each is the same metal ornament sold on…","https://badger-and-bone.pages.dev/p/tree-trim-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=tree-trim-set_202609&utm_content=feed&utm_term=dapple","","bundle, gift, christmas, ornament, dachshund, gift-set, best-value, dachshund gift, doxie, wiener dog, dapple dachshund"
"Wirehaired dachshund — The Tree Trim Set","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-wirehaired-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/tree-trim-set/tree-trim-set-wirehaired-1200.jpg","Wirehaired dachshund gift — The Tree Trim Set. Three name-drop ornaments, one coat, one box. $18 less than buying them one at a time. Three ornaments is the number that actually gets used. One for your tree, one for the box you hand someone in December, and one that ends up on a wreath or a gift you did not plan on giving. Each is the same metal ornament sold on…","https://badger-and-bone.pages.dev/p/tree-trim-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=tree-trim-set_202609&utm_content=feed&utm_term=wirehaired","","bundle, gift, christmas, ornament, dachshund, gift-set, best-value, dachshund gift, doxie, wiener dog, wirehaired dachshund"
"The Long Dog Gift Box","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-1200.jpg","The Long Dog Gift Box — dachshund gift. Puzzle, mug and a coat sticker. $84 instead of $94, in up to 3 packages. The box you give someone who already has a dachshund and does not need another mug — except this is the mug with their actual dog on it, next to a puzzle that takes an evening and the sticker that ends up on their laptop. Three things that do…","https://badger-and-bone.pages.dev/p/new-doxie-starter-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=new-doxie-starter-set_202609&utm_content=feed","","bundle, gift, gift-set, dachshund, puzzle, mug, best-value, dachshund gift, doxie, wiener dog"
"Red dachshund — The Long Dog Gift Box","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-red-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-red-1200.jpg","Red dachshund gift — The Long Dog Gift Box. Puzzle, mug and a coat sticker. $84 instead of $94, in up to 3 packages. The box you give someone who already has a dachshund and does not need another mug — except this is the mug with their actual dog on it, next to a puzzle that takes an evening and the sticker that ends up on their laptop. Three things that do…","https://badger-and-bone.pages.dev/p/new-doxie-starter-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=new-doxie-starter-set_202609&utm_content=feed&utm_term=red","","bundle, gift, gift-set, dachshund, puzzle, mug, best-value, dachshund gift, doxie, wiener dog, red dachshund"
"Black & Tan dachshund — The Long Dog Gift Box","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-black-tan-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-black-tan-1200.jpg","Black & Tan dachshund gift — The Long Dog Gift Box. Puzzle, mug and a coat sticker. $84 instead of $94, in up to 3 packages. The box you give someone who already has a dachshund and does not need another mug — except this is the mug with their actual dog on it, next to a puzzle that takes an evening and the sticker that ends up on their laptop. Three things that do…","https://badger-and-bone.pages.dev/p/new-doxie-starter-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=new-doxie-starter-set_202609&utm_content=feed&utm_term=black-tan","","bundle, gift, gift-set, dachshund, puzzle, mug, best-value, dachshund gift, doxie, wiener dog, black & tan dachshund"
